name,dt_average,DT_max
147,266829.53737067926,680612.0333333333
44,413445.68429220136,897668.4166666666
18,301320.44348977983,683919.0333333333
338,48734.952926006445,126927.6
251,1476.2977289931864,4318.9
315,3294.1368510416073,8592.333333333334
210,37043.33750946281,124080.48333333334
292,179402.10348221043,547204.1833333333
331,109759.84929367498,395396.93333333335
239,1755.3616326015645,4781.366666666667
135,1512.7251955589177,7980.966666666667
349,224830.69530359187,685031.7333333333
309,183360.76714225096,503636.73333333334
30,3844.9962023719263,9137.066666666668
45,85982.58118849297,206978.28333333333
69,4140.7692530910945,10408.183333333332
16,78630.5738581878,213493.23333333334
140,125079.07916982105,408973.7166666667
282,28531.61447136023,86866.85
57,192103.37850113487,472145.26666666666
28,215263.83639919144,487852.45
265,123405.1877617966,355826.06666666665
336,144018.11431247587,352714.26666666666
14,2136.5096013121292,4426.65
70,277523.1508327031,692616.5166666667
180,1592.4924552107059,4518.116666666667
169,1756.3839515518562,5467.91666666667
35,184046.85758263897,488946.6333333333
383,115928.81224376312,390719.4666666667
89,55479.364647994174,147657.45
97,47440.77827403464,140941.33333333334
333,116215.51410547501,353218.6
306,1965.9734878131185,7197.2
71,416486.81564471003,972638.7166666667
34,141105.5873075949,319992.2
113,176964.1248801413,415689.2166666667
146,91154.1972874085,245825.08333333334
21,467226.72200352966,993605.25
226,20729.819644208943,64454.5
156,21670.76824375463,74182.31666666667
109,74932.5641937926,193011.36666666667
24,277680.0506939211,576969.4
62,423003.72479182354,1067567.7666666666
115,203099.3976028263,560818.45
222,156857.14442341682,480935.45
351,6633.886040364732,21066.86666666667
152,2049.5120111026977,6089.816666666667
39,219697.89835982837,519889.3
126,1437.8697956093904,4272.65
77,256356.4143956593,674641.1333333333
116,168863.08268988115,468311.85
78,78804.72475397395,215029.78333333333
242,104895.97639414619,287986.25
209,2185.910534948272,4145.8
144,82021.66376482463,228366.86666666667
394,332490.1569727644,1005351.6
154,1468.0830052990204,4318.9
63,130029.15044158541,314057.1666666667
145,107095.08407771886,287986.25
75,3154.854340146363,8121.433333333333
11,3306.0373706787664,7507.86666666667
155,82478.08006560654,262273.35
346,160848.32233669967,513151.73333333334
157,64055.82985112327,208711.63333333333
291,2148.8203507443823,6829.066666666667
106,22497.92070401202,66540.61666666667
235,217962.8039994955,600952.35
187,-207.26294473883837,2811.233333333333
191,29127.866729750032,86820.85
257,2211.5019177390814,6727.71666666667
229,126324.31901337417,373518.98333333334
174,480.6954579863749,2276.7833333333333
158,2107.6917739086402,6727.71666666667
177,159147.29370426448,475910.3
228,2160.3709311127946,6929.4
300,2400.0396309934285,6341.866666666667
